user,rating,review,date,clean_review
Aji Toyo,5,Aplikasinya bagus memudahkan untuk transfer ga perlu ke bank.. Juga mengeceknya,2026-02-28 21:42:54,aplikasi bagus mudah transfer ga perlu bank ecek
Davit Pertama,5,mantap,2026-02-28 21:34:55,mantap
Ekay Revi,5,ok,2026-02-28 21:31:18,
Cha Naira,5,"cepat,lebih mudah dalam mengirimkan uang dan segala pembayaran terimakasih brimo",2026-02-28 21:24:52,cepatlebih mudah kirim uang segala bayar terimakasih brimo
Wawan Gunawan Wawan,4,"tapi kenapa yah mau transfer susah, pasti ada kamu sudah mencapai batas percobaan permintaan hari ini untuk fiktur ini, padahal baru mau transfer......",2026-02-28 21:23:53,kenapa yah mau transfer susah ada kamu capai batas coba minta hari untuk fiktur padahal baru mau transfer
Selvian Nofrianda,5,Sangat Membantu,2026-02-28 21:23:23,sangat bantu
Fendi AR 22,1,TF gagal tapi saldo Masi ke potong .. emang bagus ini apk,2026-02-28 21:19:25,tf gagal saldo mas potong emang bagus apk
Aa Iwan,4,"qita by Bri ,kapan rilis min,smoga lebih canggih memudahkan lebih lengkap dan adil utk semua nasabah jenis tabungan apapun",2026-02-28 21:16:39,qita by bri kapan rilis minsmoga lebih canggih mudah lebih lengkap adil utk semua nasabah jenis tabung apa
heru kristiono,3,makin sering pembayaran qr gagal. tapi saldo berkurang,2026-02-28 21:15:23,makin sering bayar qr gagal saldo kurang
Simbah Fajeri,5,trimakasih kami merasa puas,2026-02-28 21:13:27,trimakasih rasa puas
Censia Khumaera,5,memudahkan transaksi,2026-02-28 21:11:17,mudah transaksi
Ari Wahyudi,2,setiap mau login eror trus harus update data terus,2026-02-28 21:06:41,mau login eror trus update data terus
Ripki Blue_armor072,5,sangat membantu,2026-02-28 21:01:57,sangat bantu
Otam Mustopa,3,Aplikasi merepotkan masa login harus pake otp dan ktp terus,2026-02-28 21:00:19,aplikasi repot masa login pake otp ktp terus
Rizal raditia,5,ok,2026-02-28 20:59:19,
Indra Andryanto,4,"ternyata kemdalanya brimo,bkn saya aja,stlah baca2 ulasan yg llain pun masalahnya sama,ngblank layar putih,berarri bukan hape saya ya,emng aplikasinya aja mulai payah,setiap pengaduan cm minta maaf gk di perbaiki.hhhh.masa tiap masuk hrs login selalu..",2026-02-28 20:55:47,nyata kemdalanya brimobkn ajastlah baca ulas yg llain masalah samangblank layar putihberarri bukan hape yaemng aplikasi aja mulai payahsetiap adu cm minta maaf gk perbaikihhhhmasa tiap masuk hrs login selalu
Iwan Sasellow,3,"tolong BRIMO saya sudah 3x instal ulang, slalu tidak bisa dibuka aplikasinya hanya tampilan layar putih saja.,tolong di perbaiki",2026-02-28 20:46:36,brimo sudah x instal ulang slalu bisa buka aplikasi tampil layar putih sajatolong baik
Ros Tina,5,"sangat cepat, Aman, Amanah",2026-02-28 20:40:50,sangat cepat aman amanah
