user,rating,review,date
Aji Toyo,5,Aplikasinya bagus memudahkan untuk transfer ga perlu ke bank.. Juga mengeceknya,2026-02-28 21:42:54
Davit Pertama,5,mantap,2026-02-28 21:34:55
Ekay Revi,5,ok,2026-02-28 21:31:18
Cha Naira,5,"cepat,lebih mudah dalam mengirimkan uang dan segala pembayaran terimakasih brimo",2026-02-28 21:24:52
Wawan Gunawan Wawan,4,"tapi kenapa yah mau transfer susah, pasti ada kamu sudah mencapai batas percobaan permintaan hari ini untuk fiktur ini, padahal baru mau transfer......",2026-02-28 21:23:53
Selvian Nofrianda,5,Sangat Membantu,2026-02-28 21:23:23
Fendi AR 22,1,TF gagal tapi saldo Masi ke potong .. emang bagus ini apk,2026-02-28 21:19:25
Aa Iwan,4,"qita by Bri ,kapan rilis min,smoga lebih canggih memudahkan lebih lengkap dan adil utk semua nasabah jenis tabungan apapun",2026-02-28 21:16:39
heru kristiono,3,makin sering pembayaran qr gagal. tapi saldo berkurang,2026-02-28 21:15:23
Simbah Fajeri,5,trimakasih kami merasa puas,2026-02-28 21:13:27
Censia Khumaera,5,memudahkan transaksi,2026-02-28 21:11:17
Ari Wahyudi,2,setiap mau login eror trus harus update data terus,2026-02-28 21:06:41
Ripki Blue_armor072,5,sangat membantu,2026-02-28 21:01:57
Otam Mustopa,3,Aplikasi merepotkan masa login harus pake otp dan ktp terus,2026-02-28 21:00:19
Rizal raditia,5,ok,2026-02-28 20:59:19
Indra Andryanto,4,"ternyata kemdalanya brimo,bkn saya aja,stlah baca2 ulasan yg llain pun masalahnya sama,ngblank layar putih,berarri bukan hape saya ya,emng aplikasinya aja mulai payah,setiap pengaduan cm minta maaf gk di perbaiki.hhhh.masa tiap masuk hrs login selalu..",2026-02-28 20:55:47
Iwan Sasellow,3,"tolong BRIMO saya sudah 3x instal ulang, slalu tidak bisa dibuka aplikasinya hanya tampilan layar putih saja.,tolong di perbaiki",2026-02-28 20:46:36
Ros Tina,5,"sangat cepat, Aman, Amanah",2026-02-28 20:40:50
Eko Mardianto,5,mempermudahkan,2026-02-28 20:40:04
Walid Hidayat,5,mempermudah transaksi,2026-02-28 20:37:39
Ustu Alyana,5,"bagusss sihhh,cuman ngk tau kedepannya semoga ngk erorr😭😭takut banyak""tabungan jadinya",2026-02-28 20:33:54
Fajar Isnanto,3,kenapa nggak bisa di bukak,2026-02-28 20:33:20
Eka Ratna,4,saya tadi sudah melakukan verifikasi brimo dan tadi sudah bisa masuk ke brimo tapi pas mau masuk lagi tidak bisa harus verifikasi lagi tapi kata nya sudah melebihi limit. mohon info,2026-02-28 20:32:26
Rudi Apriyadi,1,data sudah benar di bilang salah terus memusingkang,2026-02-28 20:30:33
Muhammad Iqbal Abdillah,1,gangguan terus menerus,2026-02-28 20:27:17
Linda Wayam,5,Sangat Membantu saya,2026-02-28 20:23:47
FIQI NURIMAN,1,Error Parah Ganti Password malah gak bisa login aneh,2026-02-28 20:19:20
Gia Cantik,1,knpa gak bisa login,2026-02-28 20:17:46
Alula Maula,5,mudah dan memberi pelayanan bagus,2026-02-28 20:15:43
Surya Fitria,5,menjalani hidup jadi lebih mudah,2026-02-28 20:15:13
Vian Mandacan,5,terbaik,2026-02-28 20:00:23
ANDREAS PRATAMA,5,good,2026-02-28 19:59:17
Octavia Sartiana,5,Mudah,2026-02-28 19:51:39
muhammad imron,5,mudah,2026-02-28 19:49:38
Imah Anwar,1,"semakin di update semakin ngeblank putih, semakin gak bisa di gunakan ,",2026-02-28 19:47:46
Reandra Dwi,5,good,2026-02-28 19:46:28
sehu rahayu,5,amanah,2026-02-28 19:43:37
rudi yana,1,mau transfer tapi selalu keluar kode MTMU sangat mengecewakan👎,2026-02-28 19:36:22
OhMyBaby Eunseooo,5,bagus,2026-02-28 19:35:04
Kahfi Aulia Yanuar,1,min kenapa kartu brizzi saya jadi gabisa top up di DANA,2026-02-28 19:33:06
Siti Masitah,4,"bagus mempermudah transaksi, cuman sayang sekali sering kena kode😮‍💨",2026-02-28 19:24:02
Suharno Hasyim,1,applikasi nggak bisa dibuka kenapa? biasanya bagus. instak ulang baru bisa tapi dipakai sekali nggak bisa dibuka lagi pusing emailnya kemana? kenapa harus uninstal lagi begitu terus rumit verifikasi terus,2026-02-28 19:18:10
Fifi Khoirunnisa,4,bagus dan cepat,2026-02-28 19:17:42
